acupoint_iri,acupoint_label,special_point_iri,special_point,special_point_category_iri,special_point_category
http://www.acupunctureresearch.org/tara/ontology/TARA_5318530,BL 28,http://www.acupunctureresearch.org/tara/ontology/TARA_6484209,Back-Shu Point of the Bladder,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_4839095,BL 21,http://www.acupunctureresearch.org/tara/ontology/TARA_1503026,Back-Shu Point of the Stomach,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_3963382,BL 22,http://www.acupunctureresearch.org/tara/ontology/TARA_4567959,Back-Shu Point of Triple Energizer,http://www.acupunctureresearch.org/tara/ontology/TARA_3861175,Back-Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_4995021,BL 59,http://www.acupunctureresearch.org/tara/ontology/TARA_2041266,Xi-Cleft Point of the Yang Heel Vessel,http://www.acupunctureresearch.org/tara/ontology/TARA_4598552,Xi-Cleft Point
http://www.acupunctureresearch.org/tara/ontology/TARA_4839095,BL 21,http://www.acupunctureresearch.org/tara/ontology/TARA_1503026,Back-Shu Point of the Stomach,http://www.acupunctureresearch.org/tara/ontology/TARA_3861175,Back-Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_0906448,BL 25,http://www.acupunctureresearch.org/tara/ontology/TARA_5884126,Back-Shu Point of the Large Intestine,http://www.acupunctureresearch.org/tara/ontology/TARA_3861175,Back-Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_0906448,BL 25,http://www.acupunctureresearch.org/tara/ontology/TARA_5884126,Back-Shu Point of the Large Intestine,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_0992296,BL 23,http://www.acupunctureresearch.org/tara/ontology/TARA_2432731,Back-Shu Point of the Kidney,http://www.acupunctureresearch.org/tara/ontology/TARA_3861175,Back-Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_0992296,BL 23,http://www.acupunctureresearch.org/tara/ontology/TARA_2432731,Back-Shu Point of the Kidney,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_5047947,BL 60,http://www.acupunctureresearch.org/tara/ontology/TARA_7315457,Jing-River Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_5047947,BL 60,http://www.acupunctureresearch.org/tara/ontology/TARA_7315457,Jing-River Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_7218725,BL 67,http://www.acupunctureresearch.org/tara/ontology/TARA_2954517,Jing-Well Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_7218725,BL 67,http://www.acupunctureresearch.org/tara/ontology/TARA_2954517,Jing-Well Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_4995021,BL 59,http://www.acupunctureresearch.org/tara/ontology/TARA_4598552,Xi-Cleft Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_1124682,BL 17,http://www.acupunctureresearch.org/tara/ontology/TARA_9763906,Influential Point of Blood,http://www.acupunctureresearch.org/tara/ontology/TARA_7010544,Influential Point
http://www.acupunctureresearch.org/tara/ontology/TARA_1985889,BL 11,http://www.acupunctureresearch.org/tara/ontology/TARA_9719785,Influential Point of Bone,http://www.acupunctureresearch.org/tara/ontology/TARA_7010544,Influential Point
http://www.acupunctureresearch.org/tara/ontology/TARA_8435800,BL 63,http://www.acupunctureresearch.org/tara/ontology/TARA_4598552,Xi-Cleft Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_5290080,BL 40,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_5290080,BL 40,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_0992296,BL 23,http://www.acupunctureresearch.org/tara/ontology/TARA_3861175,Back-Shu Point,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_5318530,BL 28,http://www.acupunctureresearch.org/tara/ontology/TARA_3861175,Back-Shu Point,http://www.acupunctureresearch.org/tara/ontology/TARA_2614885,Special Point on the Head and Trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://www.acupunctureresearch.org/tara/ontology/TARA_4830205,Lower He-Sea Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
